Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Edmonton Oilers,20012002,82,38,28,12,4,92,0.561,35,38,0,205,182,2.5,2.22,15.3,85.6,13.2,89.1,27.5,25.9,50.4
Carolina Hurricanes,20012002,82,35,26,16,5,91,0.555,29,35,0,217,217,2.65,2.65,16.1,83.7,13.3,84.9,28.6,27,56.1
Dallas Stars,20012002,82,36,28,13,5,90,0.549,33,36,0,215,213,2.62,2.6,17.1,81.5,14.9,83.7,28.5,26,52.8
Montréal Canadiens,20012002,82,36,31,12,3,87,0.53,34,36,0,207,209,2.52,2.55,15,86.3,13.6,88.8,25.5,31.7,52.8
Washington Capitals,20012002,82,36,33,11,2,85,0.518,30,36,0,228,240,2.78,2.93,19.4,82.2,16.7,82.8,28,28.7,53.3
Buffalo Sabres,20012002,82,35,35,11,1,82,0.5,31,35,0,213,200,2.6,2.44,13.3,86.5,11.7,88.8,28,25.9,47.4
New York Rangers,20012002,82,36,38,4,4,80,0.488,31,36,0,227,258,2.77,3.15,14.7,79.9,13.2,81.9,29.2,31.9,50.7
Calgary Flames,20012002,82,32,35,12,3,79,0.482,30,32,0,201,220,2.45,2.68,15.1,81.5,13.7,84.3,26.9,27.3,52.5
Minnesota Wild,20012002,82,26,35,12,9,73,0.445,26,26,0,195,238,2.38,2.9,14.8,82.9,12.3,85.9,23.8,28,48.5
Pittsburgh Penguins,20012002,82,28,41,8,5,69,0.421,21,28,0,198,249,2.41,3.04,14,83.8,11,85.2,27,29.2,47.1
Tampa Bay Lightning,20012002,82,27,40,11,4,69,0.421,23,27,0,178,219,2.17,2.67,14.7,85.4,11.9,87.6,26.6,30.8,47
Nashville Predators,20012002,82,28,41,13,0,69,0.421,23,28,0,196,230,2.39,2.8,14.2,85.9,11.9,87.6,24.6,28.2,47
Anaheim Ducks,20012002,82,29,42,8,3,69,0.421,26,29,0,175,198,2.13,2.41,11.5,86.1,9.1,87.3,26.1,27.5,51
Florida Panthers,20012002,82,22,44,10,6,60,0.366,22,22,0,180,250,2.2,3.05,14.7,80.7,12.6,82.7,26.9,32.5,46.1
Columbus Blue Jackets,20012002,82,22,47,8,5,57,0.348,20,22,0,164,255,2,3.11,14,83,11.8,84,25,30.1,50.1
Atlanta Thrashers,20012002,82,19,47,11,5,54,0.329,16,19,0,187,288,2.28,3.51,12.1,81.8,8.2,82.7,24.2,35.5,46.3
Ottawa Senators,20022003,82,52,21,8,1,113,0.689,45,52,0,263,182,3.21,2.22,21.2,84.9,19.2,86.1,29.8,24.8,47.1
Dallas Stars,20022003,82,46,17,15,4,111,0.677,41,46,0,245,169,2.99,2.06,19,85.6,17.1,88.2,30.1,25.3,50.2
Detroit Red Wings,20022003,82,48,20,10,4,110,0.671,41,48,0,269,203,3.28,2.48,23.8,85.4,22.6,88.3,29.8,28.8,52.2
New Jersey Devils,20022003,82,46,20,10,6,108,0.659,38,46,0,216,166,2.63,2.02,11.9,87.9,10.6,90.5,31.7,23.6,50.7
Philadelphia Flyers,20022003,82,45,20,13,4,107,0.652,39,45,0,211,166,2.57,2.02,14.3,85.2,11.9,87.6,30.9,24.6,52.2
Colorado Avalanche,20022003,82,42,19,13,8,105,0.64,35,42,0,251,194,3.06,2.37,18.7,82.5,17.1,83.8,29.1,28.3,47.9
Vancouver Canucks,20022003,82,45,23,13,1,104,0.634,40,45,0,264,208,3.22,2.54,20.7,84.1,18.3,87.2,29.1,26.6,49.8
St. Louis Blues,20022003,82,41,24,11,6,99,0.604,35,41,0,253,222,3.09,2.71,20.5,81.8,18.7,84.6,28.1,25,49
Toronto Maple Leafs,20022003,82,44,28,7,3,98,0.598,37,44,0,236,208,2.88,2.54,17.6,86.9,15.6,89.4,26.3,29.5,50.7
Anaheim Ducks,20022003,82,40,27,9,6,95,0.579,34,40,0,203,193,2.48,2.35,16.1,87.4,14.7,89.8,27.4,29,55.2
Minnesota Wild,20022003,82,42,29,10,1,95,0.579,34,42,0,198,178,2.41,2.17,14.2,86,12.8,89,25.4,28.5,46.8
Tampa Bay Lightning,20022003,82,36,25,16,5,93,0.567,34,36,0,219,210,2.67,2.56,17.9,82.6,16.6,84.5,29.2,28,50.2
Washington Capitals,20022003,82,39,29,8,6,92,0.561,33,39,0,224,220,2.73,2.68,17.2,81.3,16,83.3,27.1,29.9,49.2
Edmonton Oilers,20022003,82,36,26,11,9,92,0.561,29,36,0,231,230,2.82,2.8,14.5,82.6,12.4,86.3,28,27.4,51.1
Boston Bruins,20022003,82,36,31,11,4,87,0.53,30,36,0,245,237,2.99,2.89,18.2,82.7,14.8,85.3,32.1,28.3,49.6
New York Islanders,20022003,82,35,34,11,2,83,0.506,30,35,0,224,231,2.73,2.82,15.1,83.5,13.8,86.4,29.6,28.3,51.1
Chicago Blackhawks,20022003,82,30,33,13,6,79,0.482,26,30,0,207,226,2.52,2.76,12.7,84.8,10.1,87,27.8,28.6,50.1
New York Rangers,20022003,82,32,36,10,4,78,0.476,26,32,0,210,231,2.56,2.82,16.2,81.2,13.9,83.3,30.1,29.6,53.3
Los Angeles Kings,20022003,82,33,37,6,6,78,0.476,27,33,0,203,221,2.48,2.7,14.7,83.3,13.5,85.5,27.7,26.1,49
Phoenix Coyotes,20022003,82,31,35,11,5,78,0.476,27,31,0,204,230,2.49,2.8,14.3,81.3,11.4,82.3,28,30,46.6
Montréal Canadiens,20022003,82,30,35,8,9,77,0.47,28,30,0,206,234,2.51,2.85,14,81.7,12.1,82.3,25.8,32.7,52.7
Calgary Flames,20022003,82,29,36,13,4,75,0.457,23,29,0,186,228,2.27,2.78,12.1,83.3,9.5,84.6,28.5,27.1,53.9
Atlanta Thrashers,20022003,82,31,39,7,5,74,0.451,24,31,0,226,284,2.76,3.46,17.3,81.7,13.5,83.9,26.4,31.6,45.9
Nashville Predators,20022003,82,27,35,13,7,74,0.451,22,27,0,183,206,2.23,2.51,13.9,82.7,12,83.3,28.2,27.5,48.5
San Jose Sharks,20022003,82,28,37,9,8,73,0.445,26,28,0,214,239,2.61,2.91,18.1,81,15.5,82.4,28.1,29.2,50.3
Buffalo Sabres,20022003,82,27,37,10,8,72,0.439,24,27,0,190,219,2.32,2.67,14.4,85.4,11.3,87.6,28.6,28,50.1
Florida Panthers,20022003,82,24,36,13,9,70,0.427,20,24,0,176,237,2.15,2.89,14.1,81.5,11.5,83.4,27.2,33.2,46.2
Columbus Blue Jackets,20022003,82,29,42,8,3,69,0.421,25,29,0,213,263,2.6,3.21,17.3,85.3,15.1,88.3,26.1,32.2,48.6
Pittsburgh Penguins,20022003,82,27,44,6,5,65,0.396,24,27,0,189,255,2.3,3.11,18.3,83.5,15.6,84.4,25.4,30.9,49.5
Carolina Hurricanes,20022003,82,22,43,11,6,61,0.372,20,22,0,171,240,2.09,2.93,13.8,81.9,11.7,83.4,29.4,28.4,52.9
Detroit Red Wings,20032004,82,48,21,11,2,109,0.665,41,48,0,255,189,3.11,2.3,20.1,86.8,18.5,91.5,30.3,26.2,52.5
Tampa Bay Lightning,20032004,82,46,22,8,6,106,0.646,42,46,0,245,192,2.99,2.34,16.2,84.9,15,90.3,30,25.4,50
Boston Bruins,20032004,82,41,19,15,7,104,0.634,33,41,0,209,188,2.55,2.29,16,83.6,11.7,85.7,30.5,27.8,52.1
San Jose Sharks,20032004,82,43,21,12,6,104,0.634,40,43,0,219,183,2.67,2.23,16.6,85.3,14,88.1,28,28.9,48.5
Toronto Maple Leafs,20032004,82,45,24,10,3,103,0.628,41,45,0,242,204,2.95,2.49,20.1,83.4,18,85.5,27.5,26.4,52.1
Ottawa Senators,20032004,82,43,23,10,6,102,0.622,40,43,0,262,189,3.2,2.3,21.6,83.6,19.4,85.3,29.5,24.9,47.1
Philadelphia Flyers,20032004,82,40,21,15,6,101,0.616,38,40,0,229,186,2.79,2.27,20.7,83.3,19.8,85.3,29.4,25.5,50.3
Vancouver Canucks,20032004,82,43,24,10,5,101,0.616,32,43,0,235,194,2.87,2.37,15,86,12.8,87.4,29,26.6,51.2
New Jersey Devils,20032004,82,43,25,12,2,100,0.61,36,43,0,213,164,2.6,2,16.4,85.3,14.7,88.4,29.7,24.4,49.2
Colorado Avalanche,20032004,82,40,22,13,7,100,0.61,32,40,0,236,198,2.88,2.41,20.4,83.8,16.5,85.7,29.4,28.4,50
Dallas Stars,20032004,82,41,26,13,2,97,0.591,38,41,0,194,175,2.37,2.13,15.9,85.9,12.5,87.5,26.8,23.2,51.4
Calgary Flames,20032004,82,42,30,7,3,94,0.573,39,42,0,200,176,2.44,2.15,15.1,84.7,14.6,87.9,27.4,25.5,50.7
Montréal Canadiens,20032004,82,41,30,7,4,93,0.567,36,41,0,208,192,2.54,2.34,17.2,82.5,15.4,84.1,27.7,28.6,51.7
New York Islanders,20032004,82,38,29,11,4,91,0.555,36,38,0,237,210,2.89,2.56,16.7,85.5,15.2,88.6,28.5,27.4,49.3
Nashville Predators,20032004,82,38,29,11,4,91,0.555,31,38,0,216,217,2.63,2.65,16.9,81.8,15,85.8,27.2,28.5,48.9
St. Louis Blues,20032004,82,39,30,11,2,91,0.555,28,39,0,191,198,2.33,2.41,17.9,84.6,14.7,86.5,27.1,25.6,49.9
Edmonton Oilers,20032004,82,36,29,12,5,89,0.543,30,36,0,221,208,2.7,2.54,13,81.1,10.7,84.8,28.4,26.5,50.9
Buffalo Sabres,20032004,82,37,34,7,4,85,0.518,35,37,0,220,221,2.68,2.7,15.8,84.8,13.4,86.8,28.1,28.5,50.3
Minnesota Wild,20032004,82,30,29,20,3,83,0.506,29,30,0,188,183,2.29,2.23,13.6,84.5,11.5,86.9,24.2,29.1,46.7
Los Angeles Kings,20032004,82,28,29,16,9,81,0.494,26,28,0,205,217,2.5,2.65,14,80.7,12.9,83.3,28.6,27,51.1
Atlanta Thrashers,20032004,82,33,37,8,4,78,0.476,27,33,0,214,243,2.61,2.96,14.7,85.2,13,88,26.1,29.4,46.7
Carolina Hurricanes,20032004,82,28,34,14,6,76,0.463,23,28,0,172,209,2.1,2.55,10.7,81.6,8.3,84.1,29.2,26.2,54.9
Anaheim Ducks,20032004,82,29,35,10,8,76,0.463,25,29,0,184,213,2.24,2.6,18.1,84.7,16.8,86.1,29.7,29.8,55.3
Florida Panthers,20032004,82,28,35,15,4,75,0.457,23,28,0,188,221,2.29,2.7,16.8,86.4,12.9,88.2,27.7,34.5,46.1
New York Rangers,20032004,82,27,40,7,8,69,0.421,24,27,0,206,250,2.51,3.05,14.3,79.4,11.8,80.9,29.5,29.2,51.4
Phoenix Coyotes,20032004,82,22,36,18,6,68,0.415,17,22,0,188,245,2.29,2.99,14.3,82.2,12,84.4,26.5,30.6,48.9
Columbus Blue Jackets,20032004,82,25,45,8,4,62,0.378,19,25,0,177,238,2.16,2.9,14.5,85.2,11,86.7,27.8,32,47.8
Washington Capitals,20032004,82,23,46,10,3,59,0.36,22,23,0,186,253,2.27,3.09,19.2,81.3,17.7,82.3,23.7,31.5,49
Chicago Blackhawks,20032004,82,20,43,11,8,59,0.36,16,20,0,188,259,2.29,3.16,15.8,83.5,11.8,84.8,29.3,30.7,49.4
Pittsburgh Penguins,20032004,82,23,47,8,4,58,0.354,16,23,0,190,303,2.32,3.7,18.1,77.2,13.9,79.1,24.7,33.2,47.2
Detroit Red Wings,20052006,82,58,16,--,8,124,0.756,51,54,4,301,206,3.67,2.51,22.1,85.5,20,87,34.1,26.6,52.9
Ottawa Senators,20052006,82,52,21,--,9,113,0.689,48,50,2,312,205,3.8,2.5,20.8,84.7,18.6,89.9,34.3,28.6,50.3
Carolina Hurricanes,20052006,82,52,22,--,8,112,0.683,40,44,8,286,258,3.49,3.15,17.9,81.8,15.4,85.6,31.1,30.5,51.7
Dallas Stars,20052006,82,53,23,--,6,112,0.683,38,41,12,253,217,3.09,2.65,17.7,83.7,16.3,85.7,28.5,25.6,50.3
Buffalo Sabres,20052006,82,52,24,--,6,110,0.671,41,47,5,276,234,3.37,2.85,21.2,86.6,17.6,88.8,30.6,30.5,49.7
Nashville Predators,20052006,82,49,25,--,8,106,0.646,40,43,6,253,224,3.09,2.73,18.4,84.6,15.8,86.9,29,32.5,53.8
Calgary Flames,20052006,82,46,25,--,11,103,0.628,42,44,2,216,193,2.63,2.35,18.2,84.3,16.7,85.8,28,27.6,50.4
New Jersey Devils,20052006,82,46,27,--,9,101,0.616,33,37,9,233,225,2.84,2.74,17.8,81.9,16.4,82.8,29.2,29.3,49.5
Philadelphia Flyers,20052006,82,45,26,--,11,101,0.616,34,41,4,263,253,3.21,3.09,18,79.1,16.7,83.2,31.1,28.9,49.5
New York Rangers,20052006,82,44,26,--,12,100,0.61,33,37,7,250,211,3.05,2.57,18.9,83.7,16.8,84.6,29.9,28.8,47.5
San Jose Sharks,20052006,82,44,27,--,11,99,0.604,34,43,1,265,235,3.23,2.87,18.2,80.7,16,83.2,30.3,26.6,48.4
Anaheim Ducks,20052006,82,43,27,--,12,98,0.598,37,40,3,251,222,3.06,2.71,18.1,83.5,15.4,85.3,31.5,29.6,50.8
Colorado Avalanche,20052006,82,43,30,--,9,95,0.579,37,40,3,280,251,3.41,3.06,18.8,84.6,16.3,87,30,29.5,48.1
Edmonton Oilers,20052006,82,41,28,--,13,95,0.579,28,34,7,249,242,3.04,2.95,18.1,84.1,17.1,87.2,29.8,25.5,53.4
Montréal Canadiens,20052006,82,42,31,--,9,93,0.567,33,40,2,241,244,2.94,2.98,19.2,81.1,17.9,83.2,30.1,30.6,49.3
Tampa Bay Lightning,20052006,82,43,33,--,6,92,0.561,31,37,6,246,256,3,3.12,16.7,81.5,14.4,84.4,31.6,27.6,50.1
Vancouver Canucks,20052006,82,42,32,--,8,92,0.561,34,38,4,252,251,3.07,3.06,18.3,81.8,16.4,83,28.8,30.1,48.1
Toronto Maple Leafs,20052006,82,41,33,--,8,90,0.549,31,38,3,254,263,3.1,3.21,21.4,80,19,82.9,28.3,30.6,51.6
Atlanta Thrashers,20052006,82,41,33,--,8,90,0.549,31,36,5,276,270,3.37,3.29,18.9,79.2,17.1,81.9,30.8,30.3,50.1
Los Angeles Kings,20052006,82,42,35,--,5,89,0.543,32,36,6,243,269,2.96,3.28,14.2,78.7,12,81.8,29.2,30,49.9
Florida Panthers,20052006,82,37,34,--,11,85,0.518,25,33,4,236,252,2.88,3.07,15.3,82.3,12.4,83.3,33.2,34.8,50.7
Minnesota Wild,20052006,82,38,36,--,8,84,0.512,32,33,5,226,212,2.76,2.59,17,87.4,15.5,89.9,26.8,30,48.3
Phoenix Coyotes,20052006,82,38,39,--,5,81,0.494,28,34,4,242,268,2.95,3.27,17.7,80.9,15.7,82.7,28.3,30.2,49.2
New York Islanders,20052006,82,36,40,--,6,78,0.476,24,27,9,221,275,2.7,3.35,16.9,79.2,13.6,80.3,30.3,31.1,48.7
Boston Bruins,20052006,82,29,37,--,16,74,0.451,23,27,2,228,258,2.78,3.15,14.8,83.7,12.4,85.6,30.6,32.1,52
Columbus Blue Jackets,20052006,82,35,43,--,4,74,0.451,21,27,8,215,276,2.62,3.37,14.2,81.8,12.4,83.8,27.4,33.7,49.4
Washington Capitals,20052006,82,29,41,--,12,70,0.427,20,22,7,230,300,2.8,3.66,14.7,78.9,11,81.6,29.8,35.1,50.4
Chicago Blackhawks,20052006,82,26,43,--,13,65,0.396,17,24,2,209,279,2.55,3.4,12.2,83.9,9.4,85,30.2,29.5,48.9
Pittsburgh Penguins,20052006,82,22,46,--,14,58,0.354,17,21,1,243,310,2.96,3.78,19,78.8,15.8,81.2,28,33.2,45.9
St. Louis Blues,20052006,82,21,46,--,15,57,0.348,14,17,4,193,284,2.35,3.46,14.7,82.2,13.1,83.5,28.5,30.6,50.7
Buffalo Sabres,20062007,82,53,22,--,7,113,0.689,38,43,10,298,238,3.63,2.9,17.4,81.4,14.3,83.4,29.5,31,51.4
Detroit Red Wings,20062007,82,50,19,--,13,113,0.689,45,48,2,252,191,3.07,2.33,17.1,84.6,14.3,87.5,33.8,24.6,53.6
Nashville Predators,20062007,82,51,23,--,8,110,0.671,42,45,6,266,207,3.24,2.52,17.4,85.8,16.9,87.9,27.6,31.2,50.3
Anaheim Ducks,20062007,82,48,20,--,14,110,0.671,39,44,4,254,198,3.1,2.41,22.4,85.1,21.4,86.1,31.5,27.4,51.9
New Jersey Devils,20062007,82,49,24,--,9,107,0.652,36,39,10,206,193,2.51,2.35,17.7,85.2,14.7,86.7,28.7,28.4,49
Dallas Stars,20062007,82,50,25,--,7,107,0.652,35,41,9,217,193,2.65,2.35,18.5,84.4,17.1,85.2,28,25.4,50.1
San Jose Sharks,20062007,82,51,26,--,5,107,0.652,48,49,2,256,197,3.12,2.4,22.4,83.3,21.5,85.5,28.6,26.2,51.1
Pittsburgh Penguins,20062007,82,47,24,--,11,105,0.64,31,37,10,267,240,3.26,2.93,20.3,82.1,17.5,85.4,28.9,30.9,47
Ottawa Senators,20062007,82,48,25,--,9,105,0.64,44,46,2,286,216,3.49,2.63,17.9,84.5,14.9,88.8,32.3,30.2,50.3
Vancouver Canucks,20062007,82,49,26,--,7,105,0.64,32,44,5,217,197,2.65,2.4,17.2,86.9,15.2,88.1,29.3,29.2,49.2
Minnesota Wild,20062007,82,48,26,--,8,104,0.634,31,38,10,225,184,2.74,2.24,19,86,16.8,88.6,29.6,28.8,47.6
Atlanta Thrashers,20062007,82,43,28,--,11,97,0.591,29,36,7,239,241,2.91,2.94,16.5,79.8,14,82.1,29.7,31.5,52.9
Calgary Flames,20062007,82,43,29,--,10,96,0.585,38,40,3,255,221,3.11,2.7,18.2,80.4,17,84.1,27.3,30.5,48.4
Colorado Avalanche,20062007,82,44,31,--,7,95,0.579,36,39,5,267,247,3.26,3.01,21.1,80.2,18.7,82.2,31.7,29,48.6
New York Rangers,20062007,82,42,30,--,10,94,0.573,30,33,9,233,211,2.84,2.57,18.5,83.8,17,86.5,31.5,28.4,49.9
Tampa Bay Lightning,20062007,82,44,33,--,5,93,0.567,29,34,10,243,259,2.96,3.16,18.5,78.4,15.5,83,29.5,27.2,48.9
New York Islanders,20062007,82,40,30,--,12,92,0.561,30,32,8,240,235,2.93,2.87,18.1,81.8,15.5,83.4,30,32.6,51.6
Toronto Maple Leafs,20062007,82,40,31,--,11,91,0.555,32,36,4,254,262,3.1,3.2,17.7,78.5,15,79.2,32.7,28.4,51.9
Montréal Canadiens,20062007,82,42,34,--,6,90,0.549,34,36,6,239,251,2.91,3.06,22.8,83.5,21.2,87.6,29.6,32.7,49.5
Carolina Hurricanes,20062007,82,40,34,--,8,88,0.537,34,40,0,241,248,2.94,3.02,15,84.6,13.2,87.6,31.2,28.5,52.3
Florida Panthers,20062007,82,35,31,--,16,86,0.524,30,33,2,245,249,2.99,3.04,18.1,82.4,16.3,83.5,33.3,29.3,47.9
St. Louis Blues,20062007,82,34,35,--,13,81,0.494,24,28,6,208,248,2.54,3.02,12.1,80,9.5,81.6,26.9,28.9,51.1
Boston Bruins,20062007,82,35,41,--,6,76,0.463,22,26,9,210,285,2.56,3.48,17.2,81.7,12.9,83.5,28.9,33.5,48.3
Columbus Blue Jackets,20062007,82,33,42,--,7,73,0.445,24,28,5,196,244,2.39,2.98,14.8,81.2,12.6,82.6,27.7,28.6,50.2
Chicago Blackhawks,20062007,82,31,42,--,9,71,0.433,22,25,6,195,251,2.38,3.06,11.8,82.6,10.2,85.3,26.8,29.4,47.8
Edmonton Oilers,20062007,82,32,43,--,7,71,0.433,28,29,3,192,245,2.34,2.99,14.2,84.6,13.1,86.1,26.7,29.7,51.5
Washington Capitals,20062007,82,28,40,--,14,70,0.427,23,27,1,234,275,2.85,3.35,16.4,80.2,13,83.1,28,33.3,49.8
Los Angeles Kings,20062007,82,27,41,--,14,68,0.415,21,23,4,223,277,2.72,3.38,18.3,77.9,17,79.3,31,29.8,47.7
Phoenix Coyotes,20062007,82,31,46,--,5,67,0.409,24,26,5,211,282,2.57,3.44,16.5,78.4,13.3,79.5,28.3,30.1,52.7
Philadelphia Flyers,20062007,82,22,48,--,12,56,0.341,18,21,1,213,297,2.6,3.62,14.1,84.5,10.4,88.1,28.8,32.6,47.1
Detroit Red Wings,20072008,82,54,21,--,7,115,0.701,47,49,5,252,179,3.07,2.18,20.7,84,18.9,85.4,34.4,23.5,53.3
San Jose Sharks,20072008,82,49,23,--,10,108,0.659,40,43,6,216,187,2.63,2.28,18.7,85.8,16.3,88.1,29.6,24.2,51.2
Montréal Canadiens,20072008,82,47,25,--,10,104,0.634,37,42,5,257,216,3.13,2.63,24.1,82.5,23.3,84.8,29.1,31.6,49
Pittsburgh Penguins,20072008,82,47,27,--,8,102,0.622,39,40,7,240,212,2.93,2.59,20.4,81,17.7,82.6,27.7,30.8,46.1
Anaheim Ducks,20072008,82,47,27,--,8,102,0.622,35,39,8,197,184,2.4,2.24,16.6,83.1,14.7,85.1,27.3,28,50.2
New Jersey Devils,20072008,82,46,29,--,7,99,0.604,31,38,8,198,193,2.41,2.35,15.6,82.8,13.4,84.7,28.8,27.5,50.4
Minnesota Wild,20072008,82,44,28,--,10,98,0.598,35,41,3,220,210,2.68,2.56,18.9,85.2,16,86.1,27,30.1,47.3
New York Rangers,20072008,82,42,27,--,13,97,0.591,30,34,8,205,190,2.5,2.32,16.5,84.6,14.9,85.7,31.5,25.9,52.3
Dallas Stars,20072008,82,45,30,--,7,97,0.591,37,40,5,237,204,2.89,2.49,18.1,85.6,15.8,89.3,26.7,26.1,50.4
Philadelphia Flyers,20072008,82,42,29,--,11,95,0.579,36,39,3,245,227,2.99,2.77,21.8,83.3,20.3,86.6,28.8,31.8,49.3
Colorado Avalanche,20072008,82,44,31,--,7,95,0.579,33,37,7,224,216,2.73,2.63,14.6,81.4,13.1,82.1,28.6,27.3,47.8
Boston Bruins,20072008,82,41,29,--,12,94,0.573,32,35,6,206,215,2.51,2.62,17.6,78.6,15.7,81.3,28.5,30.5,49.1
Ottawa Senators,20072008,82,43,31,--,8,94,0.573,37,40,3,258,242,3.15,2.95,18.3,81.1,16.5,85.8,30.1,30,51.7
Washington Capitals,20072008,82,43,31,--,8,94,0.573,32,39,4,238,227,2.9,2.77,18.8,80.5,16.5,82,31,27.5,51.2
Calgary Flames,20072008,82,42,30,--,10,94,0.573,36,39,3,226,224,2.76,2.73,16.8,81.5,14.5,83.8,28.2,28.5,49.5
Carolina Hurricanes,20072008,82,43,33,--,6,92,0.561,36,41,2,250,246,3.05,3,18.8,78.9,15.7,80,32.5,28.9,49.4
Nashville Predators,20072008,82,41,32,--,9,91,0.555,33,38,3,227,224,2.77,2.73,14.8,85.4,12,87.5,29.6,29.8,50.5
Buffalo Sabres,20072008,82,39,31,--,12,90,0.549,30,35,4,251,233,3.06,2.84,18,83.2,15.9,85.9,30.2,28.4,48.6
Chicago Blackhawks,20072008,82,40,34,--,8,88,0.537,31,35,5,234,231,2.85,2.82,15.9,82.1,14.3,86.5,28,28.6,52.3
Edmonton Oilers,20072008,82,41,35,--,6,88,0.537,22,26,15,220,247,2.68,3.01,16.6,84.7,13.7,86.6,26.3,31.4,50.5
Vancouver Canucks,20072008,82,39,33,--,10,88,0.537,29,33,6,207,206,2.52,2.51,17.1,82.6,15.2,84.8,27.5,28.9,48.7
Florida Panthers,20072008,82,38,35,--,9,85,0.518,29,33,5,211,220,2.57,2.68,19.2,82.4,18.2,83.4,31.1,33.6,48.8
Toronto Maple Leafs,20072008,82,36,35,--,11,83,0.506,28,33,3,228,256,2.78,3.12,17.8,78.1,14.9,79.3,31,29.3,49.8
Phoenix Coyotes,20072008,82,38,37,--,7,83,0.506,29,33,5,209,225,2.55,2.74,18.6,80.7,15,84,30.5,30.7,48.6
Columbus Blue Jackets,20072008,82,34,36,--,12,80,0.488,29,31,3,190,210,2.32,2.56,14.9,83.3,13.5,85.5,29,27.4,52.3
New York Islanders,20072008,82,35,38,--,9,79,0.482,25,30,5,189,240,2.3,2.93,14.6,81.9,10,84.5,29.7,30.3,51.1
St. Louis Blues,20072008,82,33,36,--,13,79,0.482,29,30,3,202,232,2.46,2.83,14.1,84.4,10.2,85.2,26.1,27.4,51.8
Atlanta Thrashers,20072008,82,34,40,--,8,76,0.463,19,25,9,207,266,2.52,3.24,16.5,78.8,13.3,82.5,25.8,33.9,51.8
Tampa Bay Lightning,20072008,82,31,42,--,9,71,0.433,27,29,2,221,266,2.7,3.24,19.3,82.1,16.9,84.3,28.7,28.2,49.7
Los Angeles Kings,20072008,82,32,43,--,7,71,0.433,25,27,5,226,263,2.76,3.21,17.4,78,16.4,81.6,28.6,32,47.8
San Jose Sharks,20082009,82,53,18,--,11,117,0.713,43,47,6,251,199,3.06,2.43,24.2,83.3,21.1,87.3,33.2,27.2,53.8
Boston Bruins,20082009,82,53,19,--,10,116,0.707,46,49,4,270,190,3.29,2.32,23.6,82.4,21.4,85,30.3,30.8,51
Detroit Red Wings,20082009,82,51,21,--,10,112,0.683,42,45,6,289,240,3.52,2.93,25.5,78.3,24.4,80.1,36.2,27.7,55.1
Washington Capitals,20082009,82,50,24,--,8,108,0.659,40,46,4,268,240,3.27,2.93,25.2,80.6,22,82.4,33.5,29.5,51.7
New Jersey Devils,20082009,82,51,27,--,4,106,0.646,36,45,6,238,207,2.9,2.52,18.9,79.9,17.6,83.6,32.9,29.5,51.3
Chicago Blackhawks,20082009,82,46,24,--,12,104,0.634,36,42,4,260,209,3.17,2.55,19.3,80.6,17.6,83.6,32.7,28.6,48.1
Vancouver Canucks,20082009,82,45,27,--,10,100,0.61,37,42,3,243,213,2.96,2.6,18.8,81.4,17.4,83.3,28.5,29.2,51.9
Philadelphia Flyers,20082009,82,44,27,--,11,99,0.604,34,40,4,260,232,3.17,2.83,22.5,83,22.2,87,29.8,32.5,48.3
Pittsburgh Penguins,20082009,82,45,28,--,9,99,0.604,33,39,6,258,233,3.15,2.84,17.2,82.7,13.6,84.7,29,30.3,49.1
Calgary Flames,20082009,82,46,30,--,6,98,0.598,40,43,3,251,246,3.06,3,17,83.4,12.9,85.1,32.2,29.8,51.3
Carolina Hurricanes,20082009,82,45,30,--,7,97,0.591,35,42,3,236,221,2.88,2.7,18.7,80.4,16.3,83.1,32.6,29.5,51.3
New York Rangers,20082009,82,43,30,--,9,95,0.579,30,33,10,200,212,2.44,2.59,13.9,87.8,9.8,90.6,32.4,29.7,50.9
Montréal Canadiens,20082009,82,41,30,--,11,93,0.567,30,34,7,242,240,2.95,2.93,19.3,82.4,16.3,85.1,30,31.7,50.9
Florida Panthers,20082009,82,41,30,--,11,93,0.567,34,38,3,231,223,2.82,2.72,16.6,82.6,13.6,84.9,29.4,34.7,47.9
St. Louis Blues,20082009,82,41,31,--,10,92,0.561,31,35,6,227,227,2.77,2.77,20.5,83.8,18.2,86.6,27.7,28.5,49.1
Columbus Blue Jackets,20082009,82,41,31,--,10,92,0.561,30,35,6,220,223,2.68,2.72,12.7,82.1,9,84.4,28.9,27.8,51.2
Buffalo Sabres,20082009,82,41,32,--,9,91,0.555,31,33,8,242,229,2.95,2.79,21,81.9,19.6,83.9,30.5,31.4,47.4
Anaheim Ducks,20082009,82,42,33,--,7,91,0.555,30,35,7,238,235,2.9,2.87,23.6,79.7,21,81.3,30.3,30.5,49.8
Minnesota Wild,20082009,82,40,33,--,9,89,0.543,32,35,5,214,197,2.61,2.4,20.1,87.6,18.3,90.7,27.5,30.7,48.5
Nashville Predators,20082009,82,40,34,--,8,88,0.537,28,34,6,207,228,2.52,2.78,15.7,82.5,13.2,85.2,29,29.4,52.2
Edmonton Oilers,20082009,82,38,35,--,9,85,0.518,31,32,6,228,244,2.78,2.98,17,77.5,14.7,78.4,28.1,32.5,47.9
